agent,ip,log_line_number,rule,sample
curl/7.68.0,198.51.100.5,2,suspicious_user_agent,"198.51.100.5 - - [01/Oct/2025:10:00:05 -0400] ""POST /login HTTP/1.1"" 401 142 ""-"" ""curl/7.68.0"""
curl/7.68.0,198.51.100.5,3,suspicious_user_agent,"198.51.100.5 - - [01/Oct/2025:10:00:10 -0400] ""POST /login HTTP/1.1"" 401 142 ""-"" ""curl/7.68.0"""
curl/7.68.0,198.51.100.5,4,suspicious_user_agent,"198.51.100.5 - - [01/Oct/2025:10:00:15 -0400] ""POST /login HTTP/1.1"" 401 142 ""-"" ""curl/7.68.0"""
curl/7.68.0,198.51.100.5,5,suspicious_user_agent,"198.51.100.5 - - [01/Oct/2025:10:00:20 -0400] ""POST /login HTTP/1.1"" 401 142 ""-"" ""curl/7.68.0"""
curl/7.68.0,198.51.100.5,6,suspicious_user_agent,"198.51.100.5 - - [01/Oct/2025:10:00:25 -0400] ""POST /login HTTP/1.1"" 401 142 ""-"" ""curl/7.68.0"""
sqlmap/1.6,203.0.113.9,8,suspicious_user_agent,"203.0.113.9 - - [01/Oct/2025:10:00:26 -0400] ""GET /robots.txt HTTP/1.1"" 404 123 ""-"" ""sqlmap/1.6"""
sqlmap/1.6,203.0.113.9,9,suspicious_user_agent,"203.0.113.9 - - [01/Oct/2025:10:00:27 -0400] ""GET /notfound123 HTTP/1.1"" 404 123 ""-"" ""sqlmap/1.6"""
sqlmap/1.6,203.0.113.9,10,suspicious_user_agent,"203.0.113.9 - - [01/Oct/2025:10:00:28 -0400] ""GET /wp-login.php HTTP/1.1"" 404 123 ""-"" ""sqlmap/1.6"""
sqlmap/1.6,203.0.113.9,11,suspicious_user_agent,"203.0.113.9 - - [01/Oct/2025:10:00:29 -0400] ""GET /' UNION SELECT username,password FROM users -- HTTP/1.1"" 200 512 ""-"" ""sqlmap/1.6"""
